deprecation > declaring-dependencies-using-multi-string-notation | plugin:com.google.protobuf | Please use single-string notation instead: "com.google.protobuf:protoc:3.22.3:linux-x86_64@exe".
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:218 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:219 | Property 'externalTestFixtures' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:255 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:267 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-kotlin/build.gradle:49 | Property 'libs' was not declared in project ':base:build-system:gradle-kotlin' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-kotlin/build.gradle:50 | Property 'libs' was not declared in project ':base:build-system:gradle-kotlin' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings-api/build.gradle:12 | Property 'libs' was not declared in project ':base:build-system:gradle-settings-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings-api/build.gradle:14 | Property 'libs' was not declared in project ':base:build-system:gradle-settings-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings-api/build.gradle:15 | Property 'libs' was not declared in project ':base:build-system:gradle-settings-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings-api/build.gradle:16 | Property 'libs' was not declared in project ':base:build-system:gradle-settings-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings-api/build.gradle:17 | Property 'libs' was not declared in project ':base:build-system:gradle-settings-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings/build.gradle:47 | Property 'libs' was not declared in project ':base:build-system:gradle-settings' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings/build.gradle:49 | Property 'libs' was not declared in project ':base:build-system:gradle-settings' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings/build.gradle:50 | Property 'libs' was not declared in project ':base:build-system:gradle-settings' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings/build.gradle:51 | Property 'libs' was not declared in project ':base:build-system:gradle-settings' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings/build.gradle:52 | Property 'libs' was not declared in project ':base:build-system:gradle-settings' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings/build.gradle:53 | Property 'libs' was not declared in project ':base:build-system:gradle-settings' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-settings/build.gradle:54 | Property 'libs' was not declared in project ':base:build-system:gradle-settings' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:13 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:14 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:15 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:16 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:17 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:19 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:20 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:21 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:22 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:23 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/manifest-merger/build.gradle:24 | Property 'libs' was not declared in project ':base:manifest-merger' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:11 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:13 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:14 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:15 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:16 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:17 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:5 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:6 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:7 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:8 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/profile/build.gradle:9 | Property 'libs' was not declared in project ':base:profile' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:10 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:11 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:12 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:13 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:14 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:15 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:6 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:7 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:8 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/shrinker/build.gradle:9 | Property 'libs' was not declared in project ':base:build-system:shrinker' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/kotlin-multiplatform-models/build.gradle:18 | Property 'libs' was not declared in project ':base:kotlin-multiplatform-models' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/kotlin-multiplatform-models/build.gradle:6 | Property 'libs' was not declared in project ':base:kotlin-multiplatform-models' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/kotlin-multiplatform-models/build.gradle:8 | Property 'libs' was not declared in project ':base:kotlin-multiplatform-models' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/kotlin-multiplatform-models/build.gradle:9 | Property 'libs' was not declared in project ':base:kotlin-multiplatform-models' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/mlkit-common/build.gradle:10 | Property 'libs' was not declared in project ':base:mlkit-common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/mlkit-common/build.gradle:11 | Property 'libs' was not declared in project ':base:mlkit-common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/mlkit-common/build.gradle:4 | Property 'libs' was not declared in project ':base:mlkit-common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/mlkit-common/build.gradle:5 | Property 'libs' was not declared in project ':base:mlkit-common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/mlkit-common/build.gradle:6 | Property 'libs' was not declared in project ':base:mlkit-common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/mlkit-common/build.gradle:8 | Property 'libs' was not declared in project ':base:mlkit-common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/mlkit-common/build.gradle:9 | Property 'libs' was not declared in project ':base:mlkit-common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/profgen/profgen/build.gradle:10 | Property 'libs' was not declared in project ':base:profgen' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/profgen/profgen/build.gradle:11 | Property 'libs' was not declared in project ':base:profgen' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/profgen/profgen/build.gradle:5 | Property 'libs' was not declared in project ':base:profgen' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/profgen/profgen/build.gradle:6 | Property 'libs' was not declared in project ':base:profgen' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/profgen/profgen/build.gradle:8 | Property 'libs' was not declared in project ':base:profgen' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/profgen/profgen/build.gradle:9 | Property 'libs' was not declared in project ':base:profgen' and was resolved from root project 'tools-gradle'.
